"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "CSS", "XML", "Markdown", "JavaScript", "Properties", "HTML", "comment", "blank", "total"
"c:\abtik digital react\abtik-digital fn\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\abtik digital react\abtik-digital fn\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 10, 55
"c:\abtik digital react\abtik-digital fn\components.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\abtik digital react\abtik-digital fn\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 13, 134
"c:\abtik digital react\abtik-digital fn\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 18, 256
"c:\abtik digital react\abtik-digital fn\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\abtik digital react\abtik-digital fn\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 2, 29
"c:\abtik digital react\abtik-digital fn\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 1, 3, 36
"c:\abtik digital react\abtik-digital fn\package-lock.json", "JSON", 0, 6358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6359
"c:\abtik digital react\abtik-digital fn\package.json", "JSON", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 63
"c:\abtik digital react\abtik-digital fn\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\abtik digital react\abtik-digital fn\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\abtik digital react\abtik-digital fn\src\App.tsx", "TypeScript JSX", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 4, 11, 80
"c:\abtik digital react\abtik-digital fn\src\apis\apis.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\abtik digital react\abtik-digital fn\src\apis\careerApis.tsx", "TypeScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\abtik digital react\abtik-digital fn\src\apis\quoteApis.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\abtik digital react\abtik-digital fn\src\assets\Services\WebDevelopement\app-development.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\abtik digital react\abtik-digital fn\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\abtik digital react\abtik-digital fn\src\assets\svg\abtik-svg-premium-logo.svg", "XML", 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 7, 26, 146
"c:\abtik digital react\abtik-digital fn\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 6, 60
"c:\abtik digital react\abtik-digital fn\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 14, 128
"c:\abtik digital react\abtik-digital fn\src\components\ui\dropdown.tsx", "TypeScript JSX", 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 20, 203
"c:\abtik digital react\abtik-digital fn\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\abtik digital react\abtik-digital fn\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\abtik digital react\abtik-digital fn\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 14, 160
"c:\abtik digital react\abtik-digital fn\src\data\blog.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\abtik digital react\abtik-digital fn\src\data\protfolio.json", "JSON", 0, 389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 389
"c:\abtik digital react\abtik-digital fn\src\index.css", "CSS", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
