"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\abtik digital react\abtik-digital fn\src\apis\emailMarketingApis.tsx", "TypeScript JSX", 0, 10, 0, 1, 11
"c:\abtik digital react\abtik-digital fn\src\layout\Mainlayout.tsx", "TypeScript JSX", 0, 12, 0, 2, 14
"c:\abtik digital react\abtik-digital fn\src\pages\AboutUs.tsx", "TypeScript JSX", 0, 147, -84, 4, 67
"c:\abtik digital react\abtik-digital fn\src\pages\Blog.tsx", "TypeScript JSX", 0, -89, 3, 0, -86
"c:\abtik digital react\abtik-digital fn\src\pages\Career.tsx", "TypeScript JSX", 0, 2, 0, 0, 2
"c:\abtik digital react\abtik-digital fn\src\pages\ContactUs.tsx", "TypeScript JSX", 0, 2, 0, 0, 2
"c:\abtik digital react\abtik-digital fn\src\pages\Events.tsx", "TypeScript JSX", 0, 30, 4, 8, 42
"c:\abtik digital react\abtik-digital fn\src\pages\ExpandedBlog.tsx", "TypeScript JSX", 0, 55, 0, 7, 62
"c:\abtik digital react\abtik-digital fn\src\pages\Faq.tsx", "TypeScript JSX", 0, -10, 0, 0, -10
"c:\abtik digital react\abtik-digital fn\src\pages\Partner.tsx", "TypeScript JSX", 0, 0, 1, 1, 2
"c:\abtik digital react\abtik-digital fn\src\pages\Protfolio.tsx", "TypeScript JSX", 0, 116, -2, 1, 115
"c:\abtik digital react\abtik-digital fn\src\pages\Services.tsx", "TypeScript JSX", 0, 73, 0, 5, 78
"c:\abtik digital react\abtik-digital fn\src\pages\Testimonial.tsx", "TypeScript JSX", 0, -6, 0, 0, -6
"c:\abtik digital react\abtik-digital fn\src\section\Contact.tsx", "TypeScript JSX", 0, 195, 1, 14, 210
"c:\abtik digital react\abtik-digital fn\src\section\Footer.tsx", "TypeScript JSX", 0, 41, -3, 3, 41
"c:\abtik digital react\abtik-digital fn\src\section\Hero.tsx", "TypeScript JSX", 0, 91, -4, 4, 91
"c:\abtik digital react\abtik-digital fn\src\section\Navbar.tsx", "TypeScript JSX", 0, -5, 0, 0, -5
"c:\abtik digital react\abtik-digital fn\src\validation\emailMarketingValidation.ts", "TypeScript", 10, 0, 0, 2, 12
"Total", "-", 10, 664, -84, 52, 642
